# Sources: Ram M. et al. Global Energy System based on 100% Renewable Energy â€“ Power, Heat, Transport and Desalination Sectors. Study by Lappeenranta University of Technology and Energy Watch Group, Lappeenranta, Berlin, March 2019. Sergio Lupi 'Fundamentals of Electroheat', Springer Publications 2017. Oliver Schmidt et al. Projecting the future Levelized Cost of Electricity Storage Technologies, Joule volume 3, Issue 1 , January 2019. Christian Breyer et al. Carbon dioxide direct air capture for effective climate change mitigation based on renewable electricity: a new type of energy system sector coupling, LUT Finland, February 2019
# (conversion factor and efficiences) www.eurelectric.org NREL, Technology Brief : Analysis of Current Day Commercial Electrolyzers. Lithium ion Battery test Centre (ITP Renwables) link: https://batterytestcentre.com.au/project/lithium-ion/. R. Terdalkar, Unique Challenges in the Design and Operation Philosophy of Solar Thermal Power Plants, Energy Procedia, Decmeber 2014. Vanadium Redox Flow Battery ,Wikipedia Page: https://en.wikipedia.org/wiki/Vanadium_redox_battery. Combined cycle power plant, Wikipedia Page: https://en.wikipedia.org/wiki/Combined_cycle_power_plant. Gunnar Benjaminsson et al. Power-to-Gas- A technical review, Swedish Gas Technology Centre (SGC)
# (GHG) Special Report of the Intergovernmental Panel on Climate Change, Renewable Energy Sources and Climate Change Mitigation, PIK,Intergovernmental Panel on Climate Change 2012. Clemens Mostert et al. Comparing Electrical Energy Storage Technologies Regarding Their Material and Carbon Footprint, Energies 2018
converter_name,CT,input,output,VectorCT_O,VectorCT_D,Units_of_Installed_Capacity,CF,CostCapCT,CostOperationFixCT,CostOperationConvCT,LifetimeCT,AnnuityCT,GHGupstreamCT,GHGOperationCT,GHGdownstreamCT,CostRampsCT,CostReserveCT,etaconv,PexistingCTb1,PexistingCTb2,PexistingCTb3,PexistingCTb4,pCTphob1,pCTphob2,pCTphob3,pCTphob4
"Water turbine",c1,"water","e",2,1,MW,1,325,0,0,50,0.0548,0,0,0,0,0,0.95,1.73893,31.58384,3.48937,3.46897,0,0,0,0
"Water pump",c2,"e","water",1,2,MW,1,325,0,0,50,0.0548,0,0,0,0,0,1,1.95053,31.53758,2.17883,2.19174,0,0,0,0
"Li ion (charger)",c3,"e","li-ions",1,3,MW,1,15,0,0,20,0.0802,0,0,0,0,0,0.9746,2.36568,1.70644,1.35072,3.88435,2.80655,2.82228,3.63388,1.09573
"Li ion (discharger)",c4,"li-ions","e",3,1,MW,1,15,0,0,20,0.0802,0,0,0,0,0,0.9746,2.34091,1.89195,2.77794,5.93319,2.8336,2.82586,3.67996,0.58571
"Electrolyzer",c5,"e","H2",1,4,MW,1,248,8.68,1,30,0.0651,0,0,0,0,0,0.821,0.69669,0.70348,0.6777,0.67994,0,0,0,0
"Fuel cell",c6,"H2comp","e",11,1,MW,1,255.9,10.23,0,15,0.0963,0,0,0,0,0,0.445,1692.68098,3713.92487,2456.46699,4069.35772,16.29027,735.53499,417.44643,231.6116
"Methanizer",c7,"H2comp","CH4",11,5,MW,1,190,8.74,2,30,0.0651,0,0,0,0,0,0.83,1.30176,20.58759,1.37584,68.34308,0,0,0,0
"Regasification of LNG",c8,"LNG","CH4",6,5,MW(ch),0.9859,25.8,31,82.4,41,0.0578,0,238.40,0,0,0,1,0.16747,0.10299,0.54456,0.05358,3.5,133.98,0,521.71
"Gas turbine OC",c9,"CH4","e",5,1,MW,1,475,14.25,2,35,0.0611,0,0,0,0,0,0.4,0.55153,0.55316,0.57547,0.54524,0,0,0,0
"Vanadium Redox Flow Battery (charger)",c10,"e","ions",1,7,MW,1,58.72085,10,0,13,0.1065,0,0,0,0,0,0.87,0.31596,0.35261,0.35047,0.35192,0.16983,0.16972,0.16884,0.16883
"Vanadium Redox Flow Battery (discharger)",c11,"ions","e",7,1,MW,1,58.72085,10,0,13,0.1065,0,0,0,0,0,0.87,0.31523,0.34448,0.35114,0.35196,0.14296,0.14287,0.14203,0.14192
"Electrical rod",c12,"e","heat",1,8,MW ,1,75,1.47,1,19,0.0827,0,0,0,0,0,1,1.09823,1.11457,1.21562,0.883,1.14119,1.1316,1.13387,1.09623
"Solar array (CSP)heliostat",c13,"sun","heat",9,8,MW(th),1,196,4.5,0,25,0.071,7.28416,2.8016,1.12064,0,0,1,0.60476,0.64824,0.74834,0.14047,0.15826,0.16074,0.18483,275.0153
"CSP Steam turbine",c14,"heat","e",8,1,MW,1,600,12,0,30,0.0651,8.64552,3.3252,1.33008,0,0,0.4,0.37321,0.41133,0.36857,0.06673,0.11221,0.112,0.11435,110.01172
"Direct air carbon capture",c15,"e","CO2",1,10,MW,1.8205,1.329,0.053,0,30,0.0651,0,-1820.5,0,0,0,1,171.23633,169.90068,169.2607,169.13588,0,0,0,0
"Gas turbine CC",c16,"CH4","e",5,1,MW,1,775,19.4,2,35,0.0611,0,0,0,0,0,0.6,0.13439,0.10587,0.44598,0.038,3.5,133.98,0,521.71
"H2 turbine",c17,"H2comp","e",11,1,MW,1,853,21.325,2,35,0.061071707,0,0,0,0,0,0.54,0.53442,0.56574,0.5469,0.55265,0,0,0,0
"H2 compressor",c18,"H2","H2comp",4,11,MW(th),0.96,29,1.16,0,20,0.080242587,0,0,0,0,0,1,3827.24133,7450.8137,6279.47139,9473.6447,15.794,2549.16391,181.24031,205.68525
