# Sources (techno-economic): Ram M. et al. Global Energy System based on 100% Renewable Energy â€“ Power, Heat, Transport and Desalination Sectors. Study by Lappeenranta University of Technology and Energy Watch Group, Lappeenranta, Berlin, March 2019, IRENA (2018), Renewable Power Generation Costs in 2017, International Renewable Energy Agency, Abu Dhabi.
# Sources (GHG): Vasilis M. Fthenakis, Life Cycle Analysis of Photovoltaics: Strategic Technology Assessment (excerpt of A Comprehensive Guide to Solar Energy Systems), Special Report of the Intergovernmental Panel on Climate Change, Renewable Energy Sources and Climate Change Mitigation, PIK,Intergovernmental Panel on Climate Change 2012, NREL, Life Cycle Assessment Harmonization
generator_name,CostCapR,CostOperationVarR,CostOperationFixR,AnnuityR,Lifetime,TechnologyR,tech,PMatterR,GHGupstreamR,GHGOperationR,GHGdownstreamR,pexistingRb1,pexistingRb2,pexistingRb3,pexistingRb4,pRphob1,pRphob2,pRphob3,pRphob4
"r1_Wind",900,0,18.00,0.0710,25,1,"Wind",0,0,0.9765,0.5425,0.00864,0.04217,26.05033,0.05801,154.36798,0.04595,68.00629,0.00763
"r2_Wind",900,0,18.00,0.0710,25,1,"Wind",0,0,0.9765,0.5425,0.00864,0.04217,26.05033,0.05801,154.36798,0.04595,68.00629,0.00763
"r3_Wind",900,0,18.00,0.0710,25,1,"Wind",0,0,0.9765,0.5425,0.00864,0.04217,26.05033,0.05801,154.36798,0.04595,68.00629,0.00763
"r4_SolarPV",164,0,4.20,0.0583,40,2,"SolarPV",0,0,8.04,3.216,3.6188,40.11036,21.36921,106.14791,1,143.05476,214.92626,229.6937
"r5_SolarPV",164,0,4.20,0.0583,40,2,"SolarPV",0,0,8.04,3.216,3.6188,40.11036,21.36921,106.14791,1,143.05476,214.92626,229.6937
"r6_SolarPV",164,0,4.20,0.0583,40,2,"SolarPV",0,0,8.04,3.216,3.6188,40.11036,21.36921,106.14791,1,143.05476,214.92626,229.6937
"r7_RoR",2560,5,76.80,0.0548,50,3,"RoR",0,0,6.6,0,0,0,0,0,0,0,0,0
"r8_RoR",2560,5,76.80,0.0548,50,3,"RoR",0,0,6.6,0,0,0,0,0,0,0,0,0
"r9_Geothermal",3610,0,80.00,0.0583,40,4,"Geothermal",0,25.323,11.377,0.367,0.09785,0.10069,0.0987,39.71502,0,0,0,0
"r10_Biomass",2540,3,58.40,0.0710,25,5,"Biomass",0,0,22,0,0,0,0,0,1,3,0,0
"r11_Biogas",296,1,11.80,0.0651,30,6,"Biogas",0,0,40,0,0,0,0,0,3,6,0,0
